versao;linhas;colunas;tarefas;execucao;tempo_ms;resultado;resultado_correto
V3 - Paralelismo estruturado;2000;2000;100;2;7584,430;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;100;3;7604,400;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;100;4;7583,728;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;100;5;7605,782;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;100;6;7652,888;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;100;7;7589,537;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;100;8;7594,874;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;100;9;7632,280;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;100;10;7577,291;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;5;1;12310,741;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;2;12209,330;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;3;12142,436;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;4;12064,682;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;5;12107,337;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;6;12092,345;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;7;12193,705;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;8;12007,818;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;9;11991,889;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;5;10;12022,508;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;10;1;8885,706;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;2;9009,155;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;3;9383,893;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;4;8924,722;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;5;8976,669;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;6;8999,027;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;7;8973,680;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;8;8972,158;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;9;8847,735;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;10;10;8906,348;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;100;1;7627,845;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;2;7612,527;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;3;7591,040;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;4;7544,193;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;5;7591,549;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;6;7477,905;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;7;7502,153;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;8;7524,102;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;9;7550,090;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;100;10;7513,107;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;1;12164,196;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;2;12174,861;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;3;12305,127;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;4;12329,189;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;5;12379,896;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;6;12531,350;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;7;12355,541;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;8;12373,017;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;9;12462,682;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;10;12482,603;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;1;9014,445;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;2;9106,938;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;3;9036,547;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;4;9124,411;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;5;9112,445;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;6;9164,408;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;7;9118,680;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;8;9082,797;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;9;9108,830;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;10;9077,023;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;1;7687,321;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;2;7626,889;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;3;7666,586;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;4;7646,935;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;5;7658,568;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;6;7679,547;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;7;7822,710;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;8;7679,940;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;9;7691,324;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;10;7638,588;20234925,2959796860;sim
